record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2024-06-17,34750498829987.55,2024,2024,17
2024-06-14,34681081398133.85,2024,2024,14
2024-06-13,34683580629557.70,2024,2024,13
2024-06-12,34681313704677.46,2024,2024,12
2024-06-11,34702935789016.26,2024,2024,11
2024-06-10,34709420097175.88,2024,2024,10
2024-06-07,34672892047832.53,2024,2024,07
2024-06-06,34670632654267.19,2024,2024,06
2024-06-05,34659901034605.69,2024,2024,05
2024-06-04,34655635889090.12,2024,2024,04
2024-06-03,34635364143328.14,2024,2024,03
2024-05-31,34667115142400.83,2024,2024,31
2024-05-30,34609796817427.65,2024,2024,30
2024-05-29,34621658355452.18,2024,2024,29
2024-05-28,34606167915025.93,2024,2024,28
2024-05-24,34587980444101.39,2024,2024,24
2024-05-23,34577128968551.63,2024,2024,23
2024-05-22,34568254514015.39,2024,2024,22
2024-05-21,34585560195036.84,2024,2024,21
2024-05-20,34569111311921.07,2024,2024,20
2024-05-17,34560897354777.70,2024,2024,17
2024-05-16,34552930923742.92,2024,2024,16
2024-05-15,34534845450747.16,2024,2024,15
2024-05-14,34572509369831.78,2024,2024,14
2024-05-13,34552162118847.87,2024,2024,13
2024-05-10,34544592017605.72,2024,2024,10
2024-05-09,34544912251854.53,2024,2024,09
2024-05-08,34541727970599.17,2024,2024,08
2024-05-07,34559395239870.33,2024,2024,07
2024-05-06,34560847639827.59,2024,2024,06
2024-05-03,34548206284406.41,2024,2024,03
2024-05-02,34563348818204.50,2024,2024,02
2024-05-01,34558286201504.24,2024,2024,01
2024-04-30,34616994016250.88,2024,2024,30
2024-04-29,34562760121518.06,2024,2024,29
2024-04-26,34558414957091.51,2024,2024,26
2024-04-25,34554969025868.11,2024,2024,25
2024-04-24,34571627122114.08,2024,2024,24
2024-04-23,34581882240753.07,2024,2024,23
2024-04-22,34591776354253.41,2024,2024,22
2024-04-19,34585528182775.46,2024,2024,19
2024-04-18,34583094965544.54,2024,2024,18
2024-04-17,34576488508928.92,2024,2024,17
2024-04-16,34591001330876.91,2024,2024,16
2024-04-15,34603202832010.75,2024,2024,15
2024-04-12,34553219625645.51,2024,2024,12
2024-04-11,34550836614631.68,2024,2024,11
2024-04-10,34561015516956.28,2024,2024,10
2024-04-09,34581009999544.53,2024,2024,09
2024-04-08,34608412560642.47,2024,2024,08
2024-04-05,34600643492585.10,2024,2024,05
2024-04-04,34598968534947.36,2024,2024,04
2024-04-03,34604337792885.31,2024,2024,03
2024-04-02,34622291870051.13,2024,2024,02
2024-04-01,34627201333064.10,2024,2024,01
2024-03-29,34586533479349.88,2024,2024,29
2024-03-28,34578609157179.32,2024,2024,28
2024-03-27,34573199545841.43,2024,2024,27
2024-03-26,34594388870175.66,2024,2024,26
2024-03-25,34598187991362.71,2024,2024,25
2024-03-22,34582121266033.57,2024,2024,22
2024-03-21,34578032221509.83,2024,2024,21
2024-03-20,34561173662194.19,2024,2024,20
2024-03-19,34582304524890.88,2024,2024,19
2024-03-18,34551363248839.89,2024,2024,18
2024-03-15,34542838497262.94,2024,2024,15
2024-03-14,34486220026285.95,2024,2024,14
2024-03-13,34475874743406.64,2024,2024,13
2024-03-12,34497203823900.22,2024,2024,12
2024-03-11,34471482665578.20,2024,2024,11
2024-03-08,34465058258901.44,2024,2024,08
2024-03-07,34461406559733.48,2024,2024,07
2024-03-06,34440831955756.54,2024,2024,06
2024-03-05,34438950067961.33,2024,2024,05
2024-03-04,34410892192352.05,2024,2024,04
2024-03-01,34393262399002.40,2024,2024,01
2024-02-29,34471083238111.75,2024,2024,29
2024-02-28,34382148207560.53,2024,2024,28
2024-02-27,34405200371310.35,2024,2024,27
2024-02-26,34376317052037.23,2024,2024,26
2024-02-23,34368198372899.16,2024,2024,23
2024-02-22,34332006626320.48,2024,2024,22
2024-02-21,34297767975339.20,2024,2024,21
2024-02-20,34305120631653.51,2024,2024,20
2024-02-16,34267230736108.38,2024,2024,16
2024-02-15,34266061012653.21,2024,2024,15
2024-02-14,34245315231752.02,2024,2024,14
2024-02-13,34269060493914.81,2024,2024,13
2024-02-12,34230783465383.28,2024,2024,12
2024-02-09,34228178296346.87,2024,2024,09
2024-02-08,34228699143453.34,2024,2024,08
2024-02-07,34197594492349.48,2024,2024,07
2024-02-06,34196564648055.77,2024,2024,06
2024-02-05,34153974129467.71,2024,2024,05
2024-02-02,34147347620186.87,2024,2024,02
2024-02-01,34155015629668.67,2024,2024,01
2024-01-31,34191150402393.64,2024,2024,31
2024-01-30,34172829341468.41,2024,2024,30
2024-01-29,34138472491310.02,2024,2024,29
2024-01-26,34135457061639.36,2024,2024,26
2024-01-25,34135530482291.88,2024,2024,25
2024-01-24,34088375076993.31,2024,2024,24
2024-01-23,34109378375744.03,2024,2024,23
2024-01-22,34076671717711.41,2024,2024,22
2024-01-19,34072342032939.15,2024,2024,19
2024-01-18,34069900131753.02,2024,2024,18
2024-01-17,34060163447630.43,2024,2024,17
2024-01-16,34061551582176.05,2024,2024,16
2024-01-12,34058157809451.17,2024,2024,12
2024-01-11,34058513894474.08,2024,2024,11
2024-01-10,34002438877490.81,2024,2024,10
2024-01-09,34024775058581.46,2024,2024,09
2024-01-08,34012198872291.96,2024,2024,08
2024-01-05,34009690055595.81,2024,2024,05
2024-01-04,34006270930685.56,2024,2024,04
2024-01-03,33994219872567.85,2024,2024,03
2024-01-02,33990127522066.83,2024,2024,02
2023-12-29,34001493655565.48,2024,2023,29
2023-12-28,33911227723170.48,2024,2023,28
2023-12-27,33896083378248.05,2024,2023,27
2023-12-26,33905473436272.38,2024,2023,26
2023-12-22,33901019328885.77,2024,2023,22
2023-12-21,33887666090658.40,2024,2023,21
2023-12-20,33870523504708.77,2024,2023,20
2023-12-19,33892115414659.10,2024,2023,19
2023-12-18,33891285134712.08,2024,2023,18
2023-12-15,33883845835556.04,2024,2023,15
2023-12-14,33840401518225.69,2024,2023,14
2023-12-13,33828210586703.42,2024,2023,13
2023-12-12,33851321205288.16,2024,2023,12
2023-12-11,33852528591546.39,2024,2023,11
2023-12-08,33847366133965.28,2024,2023,08
2023-12-07,33832815714760.09,2024,2023,07
2023-12-06,33818111305391.33,2024,2023,06
2023-12-05,33818376156446.20,2024,2023,05
2023-12-04,33814621976598.20,2024,2023,04
2023-12-01,33802677905705.57,2024,2023,01
2023-11-30,33878679367501.20,2024,2023,30
2023-11-29,33849202250270.84,2024,2023,29
2023-11-28,33851851942947.65,2024,2023,28
2023-11-27,33836693993860.35,2024,2023,27
2023-11-24,33827287441894.98,2024,2023,24
2023-11-22,33766418955614.84,2024,2023,22
2023-11-21,33786477536673.08,2024,2023,21
2023-11-20,33750176946218.59,2024,2023,20
2023-11-17,33746161204834.20,2024,2023,17
2023-11-16,33740140300745.07,2024,2023,16
2023-11-15,33702800356757.17,2024,2023,15
2023-11-14,33740758940298.14,2024,2023,14
2023-11-13,33704351344292.03,2024,2023,13
2023-11-10,33700519045108.91,2024,2023,10
2023-11-09,33700702394486.03,2024,2023,09
2023-11-08,33704519301758.33,2024,2023,08
2023-11-07,33723125002884.23,2024,2023,07
2023-11-06,33685549023482.44,2024,2023,06
2023-11-03,33677795968325.37,2024,2023,03
2023-11-02,33694310446080.58,2024,2023,02
2023-11-01,33637961474736.64,2024,2023,01
2023-10-31,33699580339128.49,2024,2023,31
2023-10-30,33675453581151.30,2024,2023,30
2023-10-27,33675583991310.32,2024,2023,27
2023-10-26,33675966690300.60,2024,2023,26
2023-10-25,33673409042338.43,2024,2023,25
